bigram,bigram_tag,bigram_lemma,bigram_lemma_tag,w1_freq,w2_freq,bigram_freq,tp_b,tp_d,log_lklhd,dice,moddice,t_score,z_score,mi_score,mi3_score,g_score,delta_p12,delta_p21,w1_freq_lemma,w2_freq_lemma,bigram_freq_lemma,tp_b_lemma,tp_d_lemma,log_lklhd_lemma,dice_lemma,moddice_lemma,t_score_lemma,z_score_lemma,mi_score_lemma,mi3_score_lemma,g_score_lemma,delta_p12_lemma,delta_p21_lemma,W1,W2,log_bigram_freq,Participle,SemanticSim,Plural,W1_lemma,W2_lemma,ItemID
absolute control,absolute_jj control_nn1,absolute control,absolute_j control_n,9569,70522,102,0.00145,0.010659421,285.4997311,0.002547103,-1.944501829,81.30550925,81.29970458,6.061661594,19.40651228,1.689741777,0.001424931,0.010500064,10197,98152,105,0.00107,0.010297146,261.1548948,0.001938181,-2.296835277,68.26526409,68.25813591,5.534832797,18.96332383,1.563012587,0.001046927,0.01007527,absolute,control,4.624972813,2,1,1,absolute_j,control_n,001_absolute_control_01
absolute silence,absolute_jj silence_nn1,absolute silence,absolute_j silence_n,9569,19353,82,0.00424,0.008569338,305.4034557,0.005670424,-1.104775691,126.0223963,126.0209729,7.612304424,20.32740843,1.120277227,0.0042156,0.008525729,10197,22468,88,0.00392,0.008629989,316.9305897,0.00538803,-1.076594782,121.4967199,121.4949964,7.407164855,20.32602809,1.140762645,0.003893805,0.008579344,absolute,silence,4.406719247,2,1,1,absolute_j,silence_n,002_absolute_silence_02
adequate supply,adequate_jj supply_nn1,adequate supply,adequate_j supply_n,9576,13095,83,0.00634,0.008667502,338.0683584,0.00732213,-0.718481545,155.278894,155.27826,8.192278026,20.94235689,1.39085192,0.006316815,0.008638056,9920,27002,121,0.00448,0.012197581,452.9489145,0.006554358,-0.334466608,154.6382802,154.6352438,7.641134654,21.47886113,2.079704555,0.004458974,0.01213675,adequate,supply,4.418840608,2,1,1,adequate_j,supply_n,003_adequate_supply_01
adequate training,adequate_jj training_nn1,adequate training,adequate_j training_n,9576,39409,70,0.00178,0.007309942,208.1218405,0.002858018,-2.321486386,74.82451463,74.82190651,6.35701253,18.61557856,1.141196953,0.001754731,0.007220919,9920,54994,73,0.00133,0.007358871,196.6190462,0.00224913,-2.60659292,64.5905016,64.58706919,5.88588802,18.26553714,1.055034386,0.001305132,0.007234587,adequate,training,4.248495242,2,1,1,adequate_j,training_n,004_adequate_training_02
annual growth,annual_jj growth_nn1,annual growth,annual_j growth_n,26825,51498,355,0.00689,0.013233924,1156.640701,0.009065026,1.686202024,199.0162515,199.0104899,6.827330351,23.77068078,4.070354881,0.006833565,0.013118185,31406,55136,365,0.00662,0.011621983,1126.708006,0.008435211,1.622392466,182.4096599,182.4045157,6.541467552,23.56497286,3.99493783,0.006549742,0.011498032,annual,growth,5.872117789,2,1,1,annual_j,growth_n,005_annual_growth_01
annual reports,annual_jj reports_nn2,annual report,annual_j report_n,26825,20026,280,0.014,0.010438024,1083.727205,0.011952786,1.742773813,252.8528979,252.8547935,7.847580272,24.10614631,3.898356165,0.013921752,0.010393338,31406,91781,1207,0.0132,0.038432147,4457.523152,0.019596224,4.563929432,470.0431222,470.0104824,7.53172394,28.00614386,6.207132666,0.013082518,0.038227171,annual,reports,5.634789603,2,1,2,annual_j,report_n,006_annual_report_02
apparent conflict,apparent_jj conflict_nn1,apparent conflict,apparent_j conflict_n,13927,24895,40,0.00161,0.002872119,102.6066303,0.002060687,-3.600730633,44.27295508,44.27235578,5.671937269,16.31579346,-0.406487413,0.001575322,0.002815873,14041,36557,53,0.00145,0.00377466,130.9683256,0.002094944,-3.170951831,48.09880071,48.0974862,5.511876796,16.96771771,0.024899388,0.001418135,0.003692052,apparent,conflict,3.688879454,1,1,1,apparent_j,conflict_n,007_apparent_conflict_01
apparent failure,apparent_jj failure_nn1,apparent failure,apparent_j failure_n,13927,24506,33,0.00135,0.002369498,79.68554211,0.001717274,-4.141269735,36.67165662,36.67116895,5.41712429,15.50591253,-1.030078552,0.001315166,0.002314116,14041,31275,37,0.00118,0.00263514,85.03299999,0.001632977,-4.04882617,36.11994697,36.11917211,5.218547505,15.63745424,-0.81404836,0.001151362,0.002564449,apparent,failure,3.496507561,1,1,1,apparent_j,failure_n,008_apparent_failure_02
arched ceilings,arched_jj ceilings_nn2,arched ceiling,arched_j ceiling_n,683,1779,8,0.0045,0.011713031,48.53136349,0.006498781,-4.265615046,152.5136988,152.5135094,11.50658191,17.50658191,-2.604337879,0.004495381,0.011709023,860,14021,33,0.00235,0.038372093,175.3997564,0.004435186,-2.772395619,199.6100736,199.6070959,10.24007411,20.32886235,-0.954265785,0.002351741,0.038340439,arched,ceilings,2.079441542,3,2,2,arched_j,ceiling_n,009_arched_ceiling_01
arched roof,arched_jj roof_nn1,arched roof,arched_j roof_n,683,14646,7,4.78E-04,0.010248902,28.83612633,9.13E-04,-7.28926612,46.37543258,46.37469493,8.272568544,13.88727839,-3.777468641,4.76E-04,0.010215775,860,17759,9,5.07E-04,0.010465116,35.73727417,9.67E-04,-6.844637967,48.22581468,48.2248851,8.024643897,14.3644939,-3.513755998,5.05E-04,0.01042495,arched,roof,1.945910149,3,2,1,arched_j,roof_n,010_arched_roof_02
